_id,latLng,name,city,state,country,updatedAt
0lau55tFKF,"40.477851,-79.8076313",3 Lakes Golf Course,Penn Hills,Pennsylvania,US,2024-02-09T00:00:00.000Z
Z4FeFGFNML,"40.0228629,-79.2979893",7 Springs Resort,Jones Mills,Pennsylvania,US,2024-02-11T05:00:00.000Z
TkSRzaJSDz,"43.6132067,-89.8663491",7 The Pines Villas at Christmas Mountain Village,Wisconsin Dells,Wisconsin,US,2024-02-11T05:00:00.000Z
D5IlWlQGID,"40.25513019,-76.898911",9 N Front St,Wormleysburg,Pennsylvania,US,2024-02-11T05:00:00.000Z
1rIcZ3Khue,"36.3256051,-86.6733274",12 Stones Crossing,Goodlettsville,Tennessee,US,2024-02-11T05:00:00.000Z
KbMfKeWSKY,"42.71248749,-78.8127817",18 Mile Creek Golf Course,Hamburg,New York,US,2024-02-11T05:00:00.000Z
8GqIcBBig6,"40.2777205,-80.0455604",1781 Club,Finleyville,Pennsylvania,US,2024-02-11T05:00:00.000Z
MZHkJ8bXMO,"38.8838441,-84.3816157",A J Jolly,Alexandria,Kentucky,US,2024-02-09T00:00:00.000Z
8vRt1Z1QCx,"45.023781,-85.334709",A-Ga-Ming Sundance,Kewdain,Michigan,US,2024-02-09T00:00:00.000Z
I7fytI6OgT,"45.023781,-85.334709",A-Ga-Ming Torch,Kewadin,Michigan,US,2024-02-09T00:00:00.000Z
yTnWX6S9kp,"41.5129134,-93.628969",A. H. Blank Golf Course,Des Moines,Iowa,US,2024-02-09T00:00:00.000Z
QAgOglUeit,"38.9317605,-92.3506469",A. L. Gustin Golf Course,Columbia,Missouri,US,2024-02-09T00:00:00.000Z
wO6wIPykBD,"30.3641628,-87.2816743",A.C. Read Golf Club,Pensacola,Florida,US,2024-02-09T00:00:00.000Z
LSlCeHbwuB,"39.7727241,-86.2407089",AJ Thatcher Golf Course,Indianapolis,Indiana,US,2024-02-09T00:00:00.000Z
7ADdM5AuAM,"26.8885231,-80.1224951",Abacoa Golf Club,Jupiter,Florida,US,2024-02-09T00:00:00.000Z
2SNMMvUr2s,"42.5444612,-88.5555444",Abbey Springs,Fontana,Wisconsin,US,2024-02-09T00:00:00.000Z
GELDbpV2ul,"42.9806348,-70.776105",Abenaqui Country Club,Rye,New Hampshire,US,2024-02-09T00:00:00.000Z
snDbn5EWoT,"30.2106906,-86.2918373",Aberdeen Country Club,Longs,South Carolina,US,2024-02-09T00:00:00.000Z
